batter,career_runs,career_sr,career_avg,career_boundary_pct,career_death_sr,seasons,consistency_cv,impact_pct,player_value_index
Nithish Kumar Reddy,303,142.92,33.67,16.98,176.67,1,,,58.91
JD Ryder,604,131.88,22.37,19.21,160.71,3,1.07,27.59,58.79
KC Sangakkara,1687,121.19,25.95,15.95,155.38,6,0.86,33.82,58.64
MV Boucher,394,127.51,28.14,14.56,159.86,4,0.92,26.09,58.63
Abdul Samad,579,145.84,19.30,18.39,166.81,5,0.74,10.26,58.63
JH Kallis,2427,109.23,29.24,13.46,172.81,7,0.88,35.79,58.52
PC Valthaty,505,120.81,22.95,19.38,209.09,4,1.32,21.74,58.38
MC Henriques,1000,126.90,27.78,14.59,165.02,8,0.92,22.22,58.23
PJ Cummins,515,149.71,20.60,19.48,158.12,6,1.25,17.95,58.22
BA Stokes,935,133.95,24.61,16.19,161.72,6,1.09,25.58,58.14
MK Pandey,3859,121.24,29.46,14.01,148.57,17,0.93,32.91,58.11
M Shahrukh Khan,553,141.43,22.12,18.41,162.03,4,0.90,10.81,58.11
RS Bopara,531,117.22,31.24,12.14,172.12,3,0.99,27.27,57.95
SC Ganguly,1349,106.81,25.94,14.17,184.47,5,0.96,37.50,57.89
SN Khan,585,130.58,22.50,17.19,163.74,8,0.99,25.00,57.86
D Padikkal,1559,123.14,25.56,16.75,139.02,5,0.90,34.38,57.82
Rashid Khan,545,161.72,14.73,22.85,168.44,8,1.48,10.34,57.73
V Shankar,1115,129.80,25.93,14.55,167.24,8,0.85,17.24,57.64
GJ Bailey,663,121.88,25.50,14.34,174.87,5,0.84,22.22,57.58
JA Morkel,975,141.92,25.66,16.89,156.13,9,1.06,10.45,57.58
GC Smith,739,110.63,28.42,15.42,165.00,4,1.01,31.03,57.45
WP Saha,2934,127.57,24.86,16.65,157.79,17,0.99,23.08,57.41
A Badoni,634,134.04,25.36,14.80,161.70,3,0.93,17.14,57.30
SS Tiwary,1494,120.10,30.49,12.94,144.13,11,0.83,27.40,57.18
CJ Anderson,538,127.19,24.45,16.78,166.67,4,1.17,24.14,57.17
RN ten Doeschate,326,138.72,23.29,17.45,151.43,5,1.13,19.05,56.99
KH Pandya,1647,132.82,23.20,16.53,160.05,9,0.98,18.69,56.98
MK Tiwary,1695,116.98,29.74,13.53,144.90,10,0.88,30.12,56.94
HH Gibbs,886,109.79,28.58,14.13,156.52,4,0.83,30.56,56.93
RA Jadeja,2959,129.78,27.92,14.12,150.13,16,0.76,13.89,56.91
EJG Morgan,1406,122.47,23.83,15.33,164.33,8,0.92,25.68,56.79
DJ Mitchell,351,131.46,27.00,14.23,121.05,2,0.71,26.67,56.78
MK Lomror,527,141.29,18.17,16.89,161.97,7,1.01,20.00,56.46
LRPL Taylor,1017,123.72,26.76,13.63,156.78,7,0.89,20.37,56.12
PA Patel,2848,120.78,23.54,17.56,133.80,12,0.85,27.21,55.87
