batter,season,balls_faced,runs_scored,fours,sixes,dot_balls,powerplay_runs,middle_runs,death_runs,powerplay_balls,middle_balls,death_balls,times_dismissed,matches,strike_rate,average,boundary_pct,death_strike_rate
AN Ghosh,2009,8,7,1,0,5,7,0,0,7,1,0,2,2,87.50,3.50,12.50,0.00
Anirudh Singh,2009/10,66,63,6,1,31,18,32,13,20,32,14,4,4,95.45,15.75,10.61,92.86
Ankit Sharma,2012,13,18,0,2,5,0,0,18,0,0,13,3,4,138.46,6.00,15.38,138.46
Ankit Sharma,2014,30,34,4,1,16,27,7,0,23,7,0,2,2,113.33,17.00,16.67,0.00
Ankit Sharma,2015,6,7,1,0,2,0,0,7,0,0,6,1,2,116.67,7.00,16.67,116.67
Ankit Sharma,2016,3,3,0,0,1,0,0,3,0,0,3,0,1,100.00,3.00,0.00,100.00
Ankit Sharma,2017,15,25,2,1,3,0,5,20,0,3,12,1,1,166.67,25.00,20.00,166.67
Ankit Soni,2017,9,7,0,1,7,0,0,7,0,0,9,2,3,77.78,3.50,11.11,77.78
Anmolpreet Singh,2021,14,16,2,1,9,16,0,0,14,0,0,1,1,114.29,16.00,21.43,0.00
Anmolpreet Singh,2022,13,13,1,0,5,5,8,0,4,9,0,2,2,100.00,6.50,7.69,0.00
Anmolpreet Singh,2023,82,105,15,2,35,90,15,0,67,15,0,4,4,128.05,26.25,20.73,0.00
Anmolpreet Singh,2024,6,5,1,0,4,5,0,0,6,0,0,2,2,83.33,2.50,16.67,0.00
Anuj Rawat,2021,1,0,0,0,1,0,0,0,1,0,0,1,1,0.00,0.00,0.00,0.00
Anuj Rawat,2022,118,129,10,7,60,77,38,14,83,28,7,7,8,109.32,18.43,14.41,200.00
Anuj Rawat,2023,71,91,6,4,25,6,11,74,4,23,44,3,7,128.17,30.33,14.08,168.18
Anuj Rawat,2024,77,98,10,3,28,0,44,54,0,47,30,3,5,127.27,32.67,16.88,180.00
Anureet Singh,2015,31,18,0,1,18,0,4,14,0,9,22,3,6,58.06,6.00,3.23,63.64
Anureet Singh,2017,12,15,2,0,3,0,0,15,0,0,12,1,1,125.00,15.00,16.67,125.00
Anureet Singh,2018,4,3,0,0,1,0,0,3,0,0,4,0,1,75.00,3.00,0.00,75.00
AP Dole,2009/10,22,34,3,1,6,0,1,33,0,2,20,2,2,154.55,17.00,18.18,165.00
AP Majumdar,2012,76,87,7,2,27,21,64,2,15,58,3,4,4,114.47,21.75,11.84,66.67
AP Tare,2009/10,36,50,5,3,20,44,6,0,33,3,0,4,4,138.89,12.50,22.22,0.00
AP Tare,2013,84,123,14,5,34,73,50,0,52,32,0,5,5,146.43,24.60,22.62,0.00
AP Tare,2014,98,126,16,3,42,69,17,40,63,9,26,8,11,128.57,15.75,19.39,153.85
AP Tare,2015,17,14,1,0,7,14,0,0,17,0,0,2,2,82.35,7.00,5.88,0.00
AP Tare,2016,15,8,1,0,11,8,0,0,14,1,0,2,2,53.33,4.00,6.67,0.00
AP Tare,2017,23,18,3,0,15,18,0,0,23,0,0,3,3,78.26,6.00,13.04,0.00
AR Bawne,2017,12,12,1,0,4,0,0,12,0,0,12,0,1,100.00,12.00,8.33,100.00
AR Patel,2014,60,62,6,1,23,2,23,37,3,24,33,5,7,103.33,12.40,11.67,112.12
AR Patel,2015,174,206,13,8,55,1,131,74,2,109,63,9,12,118.39,22.89,12.07,117.46
AR Patel,2016,77,111,4,8,26,2,34,75,3,33,41,6,10,144.16,18.50,15.58,182.93
AR Patel,2017,162,227,11,11,44,6,80,141,3,76,83,8,13,140.12,28.38,13.58,169.88
