bowler,season,balls_bowled,runs_conceded,wickets,dot_balls,powerplay_wickets,middle_wickets,death_wickets,death_runs_conceded,death_balls,matches,economy,bowling_average,bowling_sr,death_economy
SP Narine,2018,366,473,17,131,2,12,3,140,90,16,7.75,27.82,21.53,9.33
SP Narine,2019,266,353,11,90,6,3,2,83,50,12,7.96,32.09,24.18,9.96
SP Narine,2020/21,228,308,6,62,0,3,3,76,48,10,8.11,51.33,38.00,9.50
SP Narine,2021,336,369,18,125,0,11,7,51,48,14,6.59,20.50,18.67,6.38
SP Narine,2022,336,319,10,138,0,8,2,47,60,14,5.70,31.90,33.60,4.70
SP Narine,2023,288,389,11,84,2,6,3,69,48,14,8.10,35.36,26.18,8.63
SP Narine,2024,330,376,18,122,1,14,3,31,24,14,6.84,20.89,18.33,7.75
SPD Smith,2012,2,5,0,0,0,0,0,5,2,1,15.00,0.00,0.00,15.00
SR Tendulkar,2009,36,59,0,4,0,0,0,19,6,4,9.83,0.00,0.00,19.00
SR Watson,2007/08,325,395,20,158,9,2,9,125,79,15,7.29,19.75,16.25,9.49
SR Watson,2009/10,132,185,7,61,4,0,3,78,42,6,8.41,26.43,18.86,11.14
SR Watson,2011,216,248,8,78,4,0,4,75,60,10,6.89,31.00,27.00,7.50
SR Watson,2012,138,165,6,62,2,1,3,58,42,7,7.17,27.50,23.00,8.29
SR Watson,2013,250,319,16,101,5,3,8,103,70,13,7.66,19.94,15.63,8.83
SR Watson,2014,126,169,7,57,2,3,2,46,30,9,8.05,24.14,18.00,9.20
SR Watson,2015,174,273,8,62,3,0,5,98,48,10,9.41,34.13,21.75,12.25
SR Watson,2016,339,490,23,121,4,3,16,247,135,16,8.67,21.30,14.74,10.98
SR Watson,2017,161,246,5,47,1,0,4,97,53,8,9.17,49.20,32.20,10.98
SR Watson,2018,168,252,7,56,1,5,1,34,18,11,9.00,36.00,24.00,11.33
SS Agarwal,2017,24,42,1,7,0,1,0,0,0,1,10.50,42.00,24.00,0.00
SS Cottrell,2020/21,120,177,6,58,4,0,2,48,18,6,8.85,29.50,20.00,16.00
SS Iyer,2022,6,7,0,4,0,0,0,7,6,1,7.00,0.00,0.00,7.00
SS Mundhe,2011,6,6,1,4,1,0,0,0,0,1,6.00,6.00,6.00,0.00
SS Sarkar,2009,25,34,1,4,0,0,1,13,13,2,8.16,34.00,25.00,6.00
SSB Magala,2023,36,52,1,5,0,0,1,10,12,2,8.67,52.00,36.00,5.00
ST Jayasuriya,2007/08,126,163,5,36,0,4,1,25,18,8,7.76,32.60,25.20,8.33
ST Jayasuriya,2009,114,165,8,28,0,5,3,42,30,9,8.68,20.63,14.25,8.40
ST Jayasuriya,2009/10,54,68,3,19,0,3,0,20,12,4,7.56,22.67,18.00,10.00
STR Binny,2009/10,6,9,0,0,0,0,0,0,0,1,9.00,0.00,0.00,0.00
