bowler,career_wickets,career_balls,career_economy,career_bowling_avg,career_bowling_sr,career_death_economy,career_dots,dot_ball_pct,seasons,economy_cv,bowler_value_index
AD Russell,125,1697,9.51,21.53,13.58,10.91,584,34.41,12,0.33,47.78
RA Jadeja,169,3829,7.70,29.09,22.66,8.85,1216,31.76,16,0.32,47.73
CV Varun,85,1590,7.71,24.02,18.71,8.75,582,36.60,6,0.36,47.57
MG Johnson,66,1235,8.45,26.36,18.71,9.68,535,43.32,6,0.28,47.56
STR Binny,28,594,7.71,27.25,21.21,9.70,199,33.50,10,0.37,47.50
PWH de Silva,36,552,8.24,21.06,15.33,7.87,202,36.59,3,0.32,47.37
Avesh Khan,81,1335,9.03,24.81,16.48,9.59,491,36.78,8,0.35,47.26
GB Hogg,25,458,7.66,23.40,18.32,7.89,159,34.72,4,0.32,46.99
CRD Fernando,19,234,7.85,16.11,12.32,9.43,99,42.31,2,,46.92
MA Starc,59,831,8.48,19.92,14.08,8.99,334,40.19,3,0.35,46.91
PJ Sangwan,44,856,8.88,28.80,19.45,9.79,319,37.27,9,0.31,46.86
KK Ahmed,78,1276,9.02,24.59,16.36,10.70,512,40.13,7,0.27,46.60
RD Chahar,76,1664,7.81,28.49,21.89,8.16,574,34.50,7,0.35,46.54
Mustafizur Rahman,70,1299,8.28,25.60,18.56,9.36,464,35.72,7,0.34,46.54
J Yadav,9,390,6.88,49.67,43.33,7.33,153,39.23,7,0.27,46.51
SW Tait,26,473,8.47,25.69,18.19,8.64,200,42.28,4,0.34,46.43
VY Mahesh,22,339,9.04,23.23,15.41,7.71,120,35.40,4,0.34,46.32
JC Archer,49,947,7.67,24.69,19.33,9.78,420,44.35,4,0.35,46.24
P Kumar,102,2524,7.94,32.76,24.75,10.72,1075,42.59,10,0.35,46.18
MJ McClenaghan,75,1274,8.66,24.52,16.99,9.83,507,39.80,5,0.26,46.17
Kuldeep Yadav,90,1746,8.29,26.81,19.40,8.76,520,29.78,8,0.33,46.10
DL Vettori,34,777,6.90,26.29,22.85,8.11,270,34.75,5,0.34,46.05
S Aravind,48,760,8.34,22.02,15.83,9.89,290,38.16,5,0.36,46.03
YK Pathan,46,1147,7.55,31.37,24.93,9.65,393,34.26,12,0.34,45.96
SM Pollock,13,276,6.67,23.62,21.23,8.00,130,47.10,1,,45.94
GJ Maxwell,41,944,8.33,31.98,23.02,9.19,301,31.89,12,0.30,45.93
JR Hazlewood,36,603,8.26,23.06,16.75,10.22,259,42.95,4,0.33,45.88
S Kaul,63,1209,8.79,28.13,19.19,8.95,387,32.01,8,0.31,45.81
TG Southee,57,1206,8.83,31.12,21.16,10.72,447,37.06,10,0.28,45.73
L Ngidi,28,324,8.52,16.43,11.57,10.09,131,40.43,3,,45.50
